symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"M&MFIN"," EQ"," 23-Mar-2022"," 160.40"," 161.00"," 161.90"," 157.70"," 158.40"," 158.90"," 159.49"," 4889609"," 7798.58"," 25441"," 2217423"," 45.35",192,176,33.65,03/23/2022,T
"M&MFIN"," EQ"," 22-Mar-2022"," 157.30"," 156.00"," 160.90"," 155.50"," 160.30"," 160.40"," 158.46"," 4440919"," 7037.26"," 26597"," 1203729"," 27.11",167,177,33.53,03/22/2022,F
"M&MFIN"," EQ"," 21-Mar-2022"," 158.00"," 157.70"," 158.55"," 155.90"," 157.30"," 157.30"," 157.03"," 5061030"," 7947.56"," 26475"," 3060654"," 60.47",191,177,33.54,03/21/2022,T
"M&MFIN"," EQ"," 17-Mar-2022"," 152.80"," 154.95"," 158.70"," 154.35"," 157.65"," 158.00"," 156.77"," 5004270"," 7845.02"," 30931"," 2080522"," 41.57",162,176,33.11,03/17/2022,F
"M&MFIN"," EQ"," 16-Mar-2022"," 148.60"," 149.90"," 153.25"," 149.70"," 152.20"," 152.80"," 152.17"," 2957833"," 4500.85"," 14511"," 920015"," 31.10",204,174,33.15,03/16/2022,F
"M&MFIN"," EQ"," 15-Mar-2022"," 147.10"," 147.10"," 151.35"," 146.40"," 148.95"," 148.60"," 149.36"," 6515123"," 9730.77"," 34129"," 3003863"," 46.11",191,174,33.23,03/15/2022,T
"M&MFIN"," EQ"," 14-Mar-2022"," 145.15"," 144.20"," 147.55"," 142.40"," 147.05"," 147.10"," 144.95"," 4538075"," 6578.08"," 26670"," 1692032"," 37.29",170,173,33.11,03/14/2022,F
"M&MFIN"," EQ"," 11-Mar-2022"," 144.15"," 142.80"," 146.40"," 141.75"," 145.00"," 145.15"," 144.75"," 4953121"," 7169.81"," 27660"," 1798261"," 36.31",179,172,33.11,03/11/2022,T
"M&MFIN"," EQ"," 10-Mar-2022"," 141.05"," 144.45"," 149.00"," 143.50"," 143.70"," 144.15"," 146.18"," 7056578"," 10315.29"," 35119"," 1730576"," 24.52",201,172,33.03,03/10/2022,F
"M&MFIN"," EQ"," 09-Mar-2022"," 134.05"," 136.00"," 142.10"," 134.25"," 141.40"," 141.05"," 138.66"," 8179239"," 11340.99"," 36180"," 3379672"," 41.32",226,172,33.30,03/09/2022,T
"M&MFIN"," EQ"," 08-Mar-2022"," 130.60"," 128.50"," 135.15"," 128.10"," 134.90"," 134.05"," 131.03"," 10206060"," 13373.33"," 47796"," 4491503"," 44.01",214,170,33.41,03/08/2022,T
"M&MFIN"," EQ"," 04-Mar-2022"," 142.10"," 142.40"," 143.00"," 137.40"," 137.65"," 138.50"," 140.36"," 6642736"," 9323.53"," 49547"," 2177857"," 32.79",134,170,33.38,03/04/2022,F
"M&MFIN"," EQ"," 03-Mar-2022"," 143.50"," 145.10"," 146.30"," 141.70"," 142.00"," 142.10"," 143.34"," 3377331"," 4841.21"," 26443"," 1289116"," 38.17",128,170,33.32,03/03/2022,F
"M&MFIN"," EQ"," 02-Mar-2022"," 145.25"," 144.30"," 145.30"," 141.65"," 144.00"," 143.50"," 143.35"," 4215069"," 6042.41"," 28308"," 1883573"," 44.69",149,171,33.27,03/02/2022,F
"M&MFIN"," EQ"," 28-Feb-2022"," 145.60"," 143.10"," 146.40"," 140.00"," 145.95"," 145.25"," 144.34"," 4609835"," 6653.95"," 25148"," 1847283"," 40.07",183,170,33.23,02/28/2022,T
"M&MFIN"," EQ"," 25-Feb-2022"," 140.75"," 145.75"," 149.60"," 144.50"," 145.50"," 145.60"," 146.94"," 8954893"," 13158.68"," 39483"," 4232165"," 47.26",227,169,33.04,02/25/2022,T
"M&MFIN"," EQ"," 24-Feb-2022"," 152.75"," 149.35"," 150.35"," 139.00"," 143.65"," 140.75"," 143.53"," 10830538"," 15545.45"," 46516"," 4444718"," 41.04",233,168,32.84,02/24/2022,T
"M&MFIN"," EQ"," 23-Feb-2022"," 151.75"," 152.40"," 154.70"," 151.85"," 152.75"," 152.75"," 153.17"," 2903491"," 4447.37"," 20263"," 939576"," 32.36",143,167,32.69,02/23/2022,F
"M&MFIN"," EQ"," 22-Feb-2022"," 153.40"," 150.90"," 152.80"," 148.60"," 151.45"," 151.75"," 150.68"," 4164532"," 6274.99"," 31781"," 1197162"," 28.75",131,167,32.67,02/22/2022,F
"M&MFIN"," EQ"," 21-Feb-2022"," 155.45"," 153.80"," 156.45"," 152.25"," 153.50"," 153.40"," 154.16"," 4703115"," 7250.45"," 19269"," 521409"," 11.09",244,167,32.85,02/21/2022,F
"M&MFIN"," EQ"," 18-Feb-2022"," 158.30"," 157.60"," 159.45"," 155.00"," 155.05"," 155.45"," 157.53"," 2652561"," 4178.46"," 15119"," 656432"," 24.75",175,166,33.08,02/18/2022,F
"M&MFIN"," EQ"," 17-Feb-2022"," 162.10"," 161.95"," 162.50"," 157.60"," 158.80"," 158.30"," 159.83"," 4785977"," 7649.58"," 27542"," 1230859"," 25.72",174,165,33.21,02/17/2022,F
"M&MFIN"," EQ"," 16-Feb-2022"," 153.65"," 159.00"," 166.85"," 159.00"," 160.60"," 162.10"," 163.34"," 33529194"," 54767.60"," 144118"," 7145214"," 21.31",233,165,33.30,02/16/2022,F
"M&MFIN"," EQ"," 15-Feb-2022"," 149.65"," 149.70"," 154.00"," 144.75"," 153.70"," 153.65"," 148.89"," 5215848"," 7765.80"," 30793"," 1161049"," 22.26",169,164,33.68,02/15/2022,F
"M&MFIN"," EQ"," 14-Feb-2022"," 154.60"," 151.00"," 152.90"," 148.00"," 149.00"," 149.65"," 150.50"," 7842786"," 11803.35"," 32046"," 2842279"," 36.24",245,163,33.96,02/14/2022,T
"M&MFIN"," EQ"," 11-Feb-2022"," 157.40"," 156.00"," 157.40"," 154.00"," 154.55"," 154.60"," 155.58"," 3308524"," 5147.26"," 18727"," 1442365"," 43.60",177,162,33.88,02/11/2022,T
"M&MFIN"," EQ"," 10-Feb-2022"," 155.65"," 156.40"," 159.00"," 154.10"," 157.30"," 157.40"," 157.41"," 5316155"," 8368.31"," 23778"," 2563187"," 48.22",224,161,33.55,02/10/2022,T
"M&MFIN"," EQ"," 09-Feb-2022"," 154.00"," 154.75"," 156.20"," 153.65"," 155.65"," 155.65"," 155.33"," 2191384"," 3403.98"," 12292"," 661915"," 30.21",178,159,33.30,02/09/2022,F
"M&MFIN"," EQ"," 08-Feb-2022"," 154.80"," 155.60"," 156.20"," 150.75"," 154.10"," 154.00"," 153.81"," 4527402"," 6963.39"," 28350"," 946806"," 20.91",160,159,33.49,02/08/2022,F
"M&MFIN"," EQ"," 07-Feb-2022"," 153.75"," 154.70"," 157.20"," 151.75"," 154.80"," 154.80"," 154.49"," 5985160"," 9246.73"," 36872"," 1248630"," 20.86",162,158,33.83,02/07/2022,F
"M&MFIN"," EQ"," 04-Feb-2022"," 160.10"," 161.00"," 161.70"," 153.15"," 154.15"," 153.75"," 155.72"," 14291090"," 22254.56"," 66730"," 6184173"," 43.27",214,158,34.17,02/04/2022,T
"M&MFIN"," EQ"," 03-Feb-2022"," 169.00"," 164.40"," 164.40"," 156.15"," 159.80"," 160.10"," 160.22"," 28052919"," 44946.52"," 145170"," 10245348"," 36.52",193,157,34.02,02/03/2022,T
"M&MFIN"," EQ"," 02-Feb-2022"," 167.00"," 167.60"," 173.15"," 167.25"," 168.20"," 169.00"," 170.48"," 9159643"," 15615.60"," 47636"," 2617715"," 28.58",192,155,34.25,02/02/2022,F
"M&MFIN"," EQ"," 01-Feb-2022"," 161.55"," 162.90"," 168.00"," 160.90"," 167.50"," 167.00"," 164.85"," 5833085"," 9615.67"," 32721"," 1342165"," 23.01",178,154,34.13,02/01/2022,F
"M&MFIN"," EQ"," 31-Jan-2022"," 161.80"," 162.75"," 164.40"," 158.65"," 162.00"," 161.55"," 161.01"," 5164301"," 8315.11"," 26691"," 1887297"," 36.55",193,154,34.35,01/31/2022,T
"M&MFIN"," EQ"," 28-Jan-2022"," 156.60"," 157.50"," 166.95"," 157.50"," 161.60"," 161.80"," 163.40"," 7164920"," 11707.72"," 40796"," 2089392"," 29.16",176,154,34.28,01/28/2022,F
"M&MFIN"," EQ"," 27-Jan-2022"," 155.00"," 153.35"," 159.95"," 150.25"," 157.00"," 156.60"," 153.82"," 3823044"," 5880.48"," 23528"," 1165177"," 30.48",162,154,34.02,01/27/2022,F
"M&MFIN"," EQ"," 25-Jan-2022"," 150.30"," 148.50"," 156.00"," 147.85"," 155.40"," 155.00"," 153.01"," 3197317"," 4892.35"," 21164"," 956280"," 29.91",151,154,33.87,01/25/2022,F
"M&MFIN"," EQ"," 24-Jan-2022"," 155.25"," 155.25"," 155.25"," 146.55"," 150.90"," 150.30"," 150.65"," 4934271"," 7433.32"," 30384"," 1834111"," 37.17",162,153,33.89,01/24/2022,T
"M&MFIN"," EQ"," 21-Jan-2022"," 159.70"," 159.00"," 159.00"," 153.00"," 156.45"," 155.25"," 156.34"," 4726693"," 7389.92"," 23747"," 1821885"," 38.54",199,153,33.70,01/21/2022,T
"M&MFIN"," EQ"," 20-Jan-2022"," 160.10"," 160.10"," 163.00"," 158.55"," 160.20"," 159.70"," 160.25"," 2924264"," 4686.15"," 19432"," 959340"," 32.81",150,153,33.53,01/20/2022,F
"M&MFIN"," EQ"," 19-Jan-2022"," 163.65"," 162.15"," 163.85"," 158.60"," 160.10"," 160.10"," 161.19"," 4338180"," 6992.56"," 30413"," 1194655"," 27.54",143,154,33.48,01/19/2022,F
"M&MFIN"," EQ"," 18-Jan-2022"," 167.40"," 168.05"," 171.90"," 163.00"," 163.50"," 163.65"," 168.56"," 6561542"," 11060.46"," 45472"," 2227859"," 33.95",144,154,33.42,01/18/2022,F
"M&MFIN"," EQ"," 17-Jan-2022"," 164.90"," 165.00"," 168.50"," 164.75"," 167.70"," 167.40"," 167.09"," 2863167"," 4784.17"," 20240"," 672874"," 23.50",141,154,33.27,01/17/2022,F
"M&MFIN"," EQ"," 14-Jan-2022"," 166.95"," 166.65"," 168.20"," 164.40"," 165.05"," 164.90"," 166.04"," 1782115"," 2958.99"," 10401"," 563435"," 31.62",171,155,33.66,01/14/2022,F
"M&MFIN"," EQ"," 13-Jan-2022"," 165.10"," 166.80"," 168.50"," 165.10"," 166.55"," 166.95"," 166.96"," 5315227"," 8874.24"," 38741"," 1747695"," 32.88",137,155,33.69,01/13/2022,F
"M&MFIN"," EQ"," 12-Jan-2022"," 156.30"," 157.90"," 165.70"," 157.00"," 165.00"," 165.10"," 162.29"," 11026458"," 17895.17"," 62679"," 3896836"," 35.34",176,155,33.56,01/12/2022,T
"M&MFIN"," EQ"," 11-Jan-2022"," 154.85"," 155.50"," 158.20"," 153.20"," 156.90"," 156.30"," 156.08"," 5170910"," 8070.57"," 28139"," 1937527"," 37.47",184,154,33.43,01/11/2022,T
"M&MFIN"," EQ"," 10-Jan-2022"," 153.70"," 154.15"," 156.00"," 153.95"," 154.80"," 154.85"," 154.95"," 1378551"," 2136.04"," 10226"," 435148"," 31.57",135,155,33.28,01/10/2022,F
"M&MFIN"," EQ"," 07-Jan-2022"," 155.30"," 155.90"," 156.40"," 152.35"," 153.65"," 153.70"," 154.36"," 1532081"," 2364.95"," 10966"," 452073"," 29.51",140,155,33.23,01/07/2022,F
"M&MFIN"," EQ"," 06-Jan-2022"," 154.35"," 153.00"," 156.00"," 151.55"," 155.25"," 155.30"," 154.43"," 3363690"," 5194.52"," 21349"," 1408057"," 41.86",158,155,33.23,01/06/2022,T
"M&MFIN"," EQ"," 05-Jan-2022"," 153.00"," 153.25"," 156.40"," 152.25"," 154.95"," 154.35"," 154.96"," 4507475"," 6984.87"," 25947"," 1692812"," 37.56",174,155,33.16,01/05/2022,T
"M&MFIN"," EQ"," 04-Jan-2022"," 152.25"," 154.30"," 155.20"," 151.20"," 153.30"," 153.00"," 153.36"," 5091802"," 7808.54"," 29197"," 2033553"," 39.94",174,155,33.25,01/04/2022,T
"M&MFIN"," EQ"," 03-Jan-2022"," 148.95"," 148.95"," 155.65"," 148.50"," 152.45"," 152.25"," 152.13"," 5143474"," 7824.84"," 28152"," 833713"," 16.21",183,156,33.40,01/03/2022,F
"M&MFIN"," EQ"," 31-Dec-2021"," 147.25"," 147.35"," 149.90"," 146.40"," 149.10"," 148.95"," 148.94"," 2028533"," 3021.31"," 13225"," 615540"," 30.34",153,155,33.64,12/31/2021,F
"M&MFIN"," EQ"," 30-Dec-2021"," 147.05"," 147.40"," 148.80"," 145.45"," 147.90"," 147.25"," 146.74"," 4427257"," 6496.74"," 25149"," 2257845"," 51.00",176,156,33.75,12/30/2021,T
"M&MFIN"," EQ"," 29-Dec-2021"," 147.00"," 147.00"," 149.95"," 146.25"," 146.90"," 147.05"," 147.68"," 3056995"," 4514.67"," 19571"," 828875"," 27.11",156,156,33.53,12/29/2021,F
"M&MFIN"," EQ"," 28-Dec-2021"," 146.00"," 147.80"," 148.40"," 145.70"," 146.90"," 147.00"," 147.16"," 2497538"," 3675.31"," 16071"," 514757"," 20.61",155,156,33.55,12/28/2021,F
