symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LAURUSLABS"," EQ"," 25-Mar-2022"," 604.25"," 610.00"," 613.90"," 588.10"," 591.40"," 589.80"," 599.94"," 1935814"," 11613.78"," 35451"," 700138"," 36.17",55,60,33.13,03/25/2022,F
"LAURUSLABS"," EQ"," 24-Mar-2022"," 605.80"," 608.00"," 610.80"," 600.10"," 602.95"," 604.25"," 604.78"," 1729329"," 10458.56"," 37898"," 673764"," 38.96",46,60,33.07,03/24/2022,F
"LAURUSLABS"," EQ"," 23-Mar-2022"," 594.05"," 598.15"," 609.00"," 595.10"," 606.85"," 605.80"," 603.17"," 2551432"," 15389.35"," 47300"," 919570"," 36.04",54,60,32.94,03/23/2022,F
"LAURUSLABS"," EQ"," 22-Mar-2022"," 592.35"," 593.00"," 599.00"," 586.65"," 593.55"," 594.05"," 593.66"," 1492679"," 8861.41"," 27326"," 445139"," 29.82",55,60,32.99,03/22/2022,F
"LAURUSLABS"," EQ"," 21-Mar-2022"," 581.05"," 581.80"," 601.70"," 578.10"," 590.80"," 592.35"," 594.27"," 2760790"," 16406.62"," 49501"," 941665"," 34.11",56,60,32.86,03/21/2022,F
"LAURUSLABS"," EQ"," 17-Mar-2022"," 579.00"," 583.00"," 585.70"," 572.85"," 582.00"," 581.05"," 579.50"," 2135595"," 12375.73"," 37677"," 816387"," 38.23",57,60,33.00,03/17/2022,F
"LAURUSLABS"," EQ"," 16-Mar-2022"," 568.85"," 573.70"," 583.50"," 564.45"," 578.00"," 579.00"," 576.00"," 1726221"," 9943.01"," 30819"," 412877"," 23.92",56,59,32.97,03/16/2022,F
"LAURUSLABS"," EQ"," 15-Mar-2022"," 579.15"," 582.10"," 586.90"," 565.00"," 567.50"," 568.85"," 572.16"," 2622064"," 15002.48"," 40331"," 1089273"," 41.54",65,59,33.03,03/15/2022,T
"LAURUSLABS"," EQ"," 14-Mar-2022"," 578.00"," 583.65"," 596.00"," 577.15"," 578.00"," 579.15"," 585.29"," 4099631"," 23994.74"," 80779"," 1203972"," 29.37",51,59,32.70,03/14/2022,F
"LAURUSLABS"," EQ"," 11-Mar-2022"," 553.75"," 553.00"," 587.15"," 550.30"," 580.00"," 578.00"," 575.59"," 4815381"," 27716.89"," 83827"," 1003919"," 20.85",57,59,32.74,03/11/2022,F
"LAURUSLABS"," EQ"," 10-Mar-2022"," 555.55"," 562.70"," 568.80"," 551.25"," 553.95"," 553.75"," 557.95"," 1380091"," 7700.26"," 24853"," 389357"," 28.21",56,59,32.86,03/10/2022,F
"LAURUSLABS"," EQ"," 09-Mar-2022"," 535.10"," 538.80"," 560.00"," 537.00"," 553.25"," 555.55"," 550.99"," 2020079"," 11130.40"," 31716"," 666343"," 32.99",64,59,33.06,03/09/2022,F
"LAURUSLABS"," EQ"," 08-Mar-2022"," 528.10"," 524.10"," 545.20"," 524.10"," 534.90"," 535.10"," 535.72"," 1527802"," 8184.78"," 20562"," 417386"," 27.32",74,59,33.29,03/08/2022,F
"LAURUSLABS"," EQ"," 04-Mar-2022"," 540.25"," 541.65"," 548.00"," 532.30"," 535.80"," 536.65"," 537.92"," 1418425"," 7630.04"," 23743"," 280013"," 19.74",60,58,33.85,03/04/2022,F
"LAURUSLABS"," EQ"," 03-Mar-2022"," 535.85"," 537.80"," 546.60"," 533.60"," 544.00"," 540.25"," 540.34"," 1095285"," 5918.28"," 16397"," 388831"," 35.50",67,58,34.04,03/03/2022,T
"LAURUSLABS"," EQ"," 02-Mar-2022"," 541.55"," 535.55"," 546.35"," 532.30"," 537.50"," 535.85"," 539.07"," 1031075"," 5558.20"," 21197"," 385841"," 37.42",49,58,33.95,03/02/2022,F
"LAURUSLABS"," EQ"," 28-Feb-2022"," 530.95"," 527.00"," 543.80"," 523.10"," 539.50"," 541.55"," 538.02"," 1999336"," 10756.86"," 27615"," 820765"," 41.05",72,58,33.90,02/28/2022,T
"LAURUSLABS"," EQ"," 25-Feb-2022"," 500.85"," 519.95"," 534.55"," 509.80"," 532.40"," 530.95"," 526.25"," 2463164"," 12962.28"," 38600"," 808910"," 32.84",64,57,33.65,02/25/2022,F
"LAURUSLABS"," EQ"," 24-Feb-2022"," 532.00"," 520.00"," 522.90"," 496.00"," 499.70"," 500.85"," 504.97"," 4052198"," 20462.52"," 63684"," 1696633"," 41.87",64,57,33.49,02/24/2022,T
"LAURUSLABS"," EQ"," 23-Feb-2022"," 527.75"," 532.45"," 536.70"," 528.05"," 532.50"," 532.00"," 531.88"," 1490373"," 7927.00"," 19600"," 601068"," 40.33",76,57,33.28,02/23/2022,T
"LAURUSLABS"," EQ"," 22-Feb-2022"," 539.70"," 530.00"," 540.00"," 522.00"," 527.30"," 527.75"," 532.25"," 1804216"," 9602.90"," 26803"," 566811"," 31.42",67,57,33.20,02/22/2022,F
"LAURUSLABS"," EQ"," 21-Feb-2022"," 552.05"," 551.00"," 552.75"," 538.00"," 538.25"," 539.70"," 544.39"," 1504076"," 8188.06"," 25347"," 460598"," 30.62",59,57,33.19,02/21/2022,F
"LAURUSLABS"," EQ"," 18-Feb-2022"," 549.30"," 548.00"," 557.00"," 547.10"," 553.00"," 552.05"," 553.19"," 1612799"," 8921.83"," 19883"," 479654"," 29.74",81,56,33.20,02/18/2022,F
