symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GUJGASLTD"," EQ"," 25-Mar-2022"," 499.65"," 503.00"," 503.00"," 490.00"," 492.00"," 492.05"," 495.21"," 1035981"," 5130.24"," 24582"," 357314"," 34.49",42,37,38.54,03/25/2022,F
"GUJGASLTD"," EQ"," 24-Mar-2022"," 500.65"," 496.00"," 507.20"," 493.35"," 500.00"," 499.65"," 501.22"," 1238558"," 6207.90"," 26164"," 361686"," 29.20",47,37,38.66,03/24/2022,F
"GUJGASLTD"," EQ"," 23-Mar-2022"," 491.90"," 500.95"," 511.40"," 497.00"," 499.30"," 500.65"," 503.50"," 3187789"," 16050.60"," 71430"," 943220"," 29.59",45,36,38.63,03/23/2022,F
"GUJGASLTD"," EQ"," 22-Mar-2022"," 499.70"," 503.60"," 506.60"," 487.20"," 493.50"," 491.90"," 494.42"," 1512778"," 7479.43"," 37434"," 467042"," 30.87",40,36,38.52,03/22/2022,F
"GUJGASLTD"," EQ"," 21-Mar-2022"," 504.80"," 507.00"," 507.85"," 498.00"," 499.90"," 499.70"," 503.50"," 1334474"," 6719.12"," 37598"," 722610"," 54.15",35,36,38.53,03/21/2022,F
"GUJGASLTD"," EQ"," 17-Mar-2022"," 502.95"," 507.00"," 512.00"," 503.30"," 504.00"," 504.80"," 506.02"," 2834291"," 14342.13"," 29000"," 2037750"," 71.90",98,36,38.19,03/17/2022,T
"GUJGASLTD"," EQ"," 16-Mar-2022"," 511.05"," 520.00"," 520.00"," 501.55"," 502.25"," 502.95"," 505.93"," 1858079"," 9400.63"," 36669"," 834197"," 44.90",51,35,37.57,03/16/2022,T
"GUJGASLTD"," EQ"," 15-Mar-2022"," 511.00"," 516.00"," 531.00"," 508.65"," 510.80"," 511.05"," 520.26"," 2565073"," 13345.16"," 68256"," 588195"," 22.93",38,35,37.10,03/15/2022,F
"GUJGASLTD"," EQ"," 14-Mar-2022"," 510.70"," 513.95"," 515.25"," 502.00"," 510.65"," 511.00"," 508.99"," 1850938"," 9421.08"," 44221"," 541681"," 29.27",42,35,37.55,03/14/2022,F
"GUJGASLTD"," EQ"," 11-Mar-2022"," 509.65"," 512.00"," 519.80"," 505.25"," 511.05"," 510.70"," 512.23"," 1922581"," 9848.08"," 47986"," 440327"," 22.90",40,34,37.70,03/11/2022,F
"GUJGASLTD"," EQ"," 10-Mar-2022"," 533.40"," 544.90"," 559.00"," 506.30"," 509.00"," 509.65"," 525.39"," 3519566"," 18491.33"," 76835"," 807351"," 22.94",46,34,37.69,03/10/2022,F
"GUJGASLTD"," EQ"," 09-Mar-2022"," 522.45"," 530.00"," 539.20"," 505.00"," 531.00"," 533.40"," 522.29"," 4119001"," 21513.13"," 92119"," 1501124"," 36.44",45,34,37.89,03/09/2022,F
"GUJGASLTD"," EQ"," 08-Mar-2022"," 496.75"," 503.05"," 532.00"," 495.25"," 525.00"," 522.45"," 517.78"," 4968122"," 25724.15"," 163678"," 1081341"," 21.77",30,34,38.04,03/08/2022,F
"GUJGASLTD"," EQ"," 04-Mar-2022"," 526.45"," 519.00"," 541.40"," 498.50"," 526.25"," 528.00"," 516.42"," 5197519"," 26841.16"," 102704"," 2216450"," 42.64",51,34,37.73,03/04/2022,T
"GUJGASLTD"," EQ"," 03-Mar-2022"," 565.10"," 569.00"," 574.00"," 524.00"," 524.50"," 526.45"," 540.53"," 2713392"," 14666.78"," 73611"," 1407509"," 51.87",37,34,37.58,03/03/2022,T
"GUJGASLTD"," EQ"," 02-Mar-2022"," 583.55"," 579.00"," 582.90"," 555.70"," 561.70"," 565.10"," 569.03"," 1745787"," 9934.04"," 55427"," 997634"," 57.15",31,34,37.17,03/02/2022,F
"GUJGASLTD"," EQ"," 28-Feb-2022"," 600.80"," 594.50"," 594.50"," 578.50"," 587.20"," 583.55"," 585.05"," 1963284"," 11486.24"," 59183"," 1237349"," 63.02",33,34,36.69,02/28/2022,F
"GUJGASLTD"," EQ"," 25-Feb-2022"," 572.75"," 575.50"," 609.85"," 575.50"," 602.70"," 600.80"," 597.88"," 1072118"," 6410.01"," 25215"," 414671"," 38.68",43,34,36.32,02/25/2022,T
"GUJGASLTD"," EQ"," 24-Feb-2022"," 620.85"," 603.95"," 611.40"," 565.25"," 567.00"," 572.75"," 586.92"," 1772989"," 10405.97"," 64802"," 686532"," 38.72",27,34,36.08,02/24/2022,F
"GUJGASLTD"," EQ"," 23-Feb-2022"," 643.50"," 643.00"," 654.25"," 618.00"," 621.90"," 620.85"," 636.06"," 997926"," 6347.40"," 24062"," 398870"," 39.97",41,34,36.04,02/23/2022,T
"GUJGASLTD"," EQ"," 22-Feb-2022"," 660.05"," 650.00"," 654.85"," 632.85"," 643.70"," 643.50"," 645.31"," 694246"," 4480.01"," 22497"," 244752"," 35.25",31,34,35.88,02/22/2022,F
"GUJGASLTD"," EQ"," 21-Feb-2022"," 664.05"," 663.00"," 674.60"," 654.20"," 660.50"," 660.05"," 665.22"," 700146"," 4657.53"," 20981"," 138341"," 19.76",33,34,36.09,02/21/2022,F
"GUJGASLTD"," EQ"," 18-Feb-2022"," 657.30"," 657.00"," 668.70"," 651.55"," 666.20"," 664.05"," 662.60"," 492094"," 3260.62"," 13176"," 146951"," 29.86",37,34,36.18,02/18/2022,F
"GUJGASLTD"," EQ"," 17-Feb-2022"," 656.70"," 660.50"," 666.00"," 654.50"," 657.20"," 657.30"," 660.88"," 300232"," 1984.17"," 7789"," 53966"," 17.97",39,34,36.28,02/17/2022,F
"GUJGASLTD"," EQ"," 16-Feb-2022"," 663.10"," 665.00"," 667.95"," 654.40"," 660.00"," 656.70"," 659.49"," 814680"," 5372.72"," 18800"," 117440"," 14.42",43,34,36.54,02/16/2022,F
"GUJGASLTD"," EQ"," 15-Feb-2022"," 641.70"," 649.30"," 666.00"," 626.00"," 665.05"," 663.10"," 646.47"," 1576076"," 10188.81"," 41645"," 460066"," 29.19",38,34,37.00,02/15/2022,F
"GUJGASLTD"," EQ"," 14-Feb-2022"," 637.45"," 623.70"," 647.35"," 612.10"," 641.75"," 641.70"," 638.45"," 1420498"," 9069.19"," 38438"," 491764"," 34.62",37,34,37.10,02/14/2022,F
"GUJGASLTD"," EQ"," 11-Feb-2022"," 647.65"," 641.00"," 651.00"," 633.00"," 635.00"," 637.45"," 637.88"," 978809"," 6243.66"," 22365"," 364515"," 37.24",44,34,37.26,02/11/2022,F
"GUJGASLTD"," EQ"," 10-Feb-2022"," 660.70"," 658.00"," 659.10"," 641.55"," 647.00"," 647.65"," 648.15"," 1278455"," 8286.25"," 31963"," 485173"," 37.95",40,33,37.49,02/10/2022,T
"GUJGASLTD"," EQ"," 09-Feb-2022"," 664.85"," 626.00"," 674.00"," 625.00"," 659.90"," 660.70"," 652.98"," 4576490"," 29883.43"," 115990"," 1050306"," 22.95",39,34,37.83,02/09/2022,F
"GUJGASLTD"," EQ"," 08-Feb-2022"," 690.35"," 692.50"," 695.90"," 660.65"," 667.70"," 664.85"," 670.73"," 898537"," 6026.73"," 30028"," 282512"," 31.44",30,34,38.28,02/08/2022,F
"GUJGASLTD"," EQ"," 07-Feb-2022"," 681.25"," 681.35"," 697.65"," 675.00"," 690.10"," 690.35"," 688.35"," 663128"," 4564.66"," 27333"," 291243"," 43.92",24,34,38.38,02/07/2022,F
"GUJGASLTD"," EQ"," 04-Feb-2022"," 678.60"," 679.00"," 692.00"," 667.20"," 681.20"," 681.25"," 683.20"," 882512"," 6029.29"," 19632"," 325314"," 36.86",45,34,38.44,02/04/2022,F
"GUJGASLTD"," EQ"," 03-Feb-2022"," 693.40"," 695.05"," 698.70"," 675.30"," 676.95"," 678.60"," 687.14"," 631797"," 4341.31"," 12476"," 354696"," 56.14",51,34,38.47,02/03/2022,T
"GUJGASLTD"," EQ"," 02-Feb-2022"," 680.90"," 684.00"," 702.20"," 680.90"," 696.65"," 693.40"," 693.78"," 891782"," 6186.97"," 27557"," 293221"," 32.88",32,33,38.47,02/02/2022,F
"GUJGASLTD"," EQ"," 01-Feb-2022"," 672.65"," 674.25"," 690.00"," 670.10"," 681.60"," 680.90"," 682.18"," 597543"," 4076.35"," 20134"," 178394"," 29.85",30,34,38.98,02/01/2022,F
"GUJGASLTD"," EQ"," 31-Jan-2022"," 677.50"," 686.00"," 689.00"," 670.00"," 672.60"," 672.65"," 678.44"," 437807"," 2970.25"," 18709"," 183603"," 41.94",23,34,39.32,01/31/2022,F
"GUJGASLTD"," EQ"," 28-Jan-2022"," 689.55"," 690.10"," 709.45"," 672.90"," 679.00"," 677.50"," 688.74"," 925539"," 6374.58"," 23185"," 492047"," 53.16",40,34,39.34,01/28/2022,T
"GUJGASLTD"," EQ"," 27-Jan-2022"," 691.50"," 691.00"," 698.60"," 666.20"," 690.00"," 689.55"," 686.25"," 1631861"," 11198.61"," 65554"," 974708"," 59.73",25,34,39.22,01/27/2022,F
"GUJGASLTD"," EQ"," 25-Jan-2022"," 691.70"," 686.10"," 696.55"," 672.80"," 692.50"," 691.50"," 683.82"," 961100"," 6572.16"," 48165"," 536330"," 55.80",20,35,38.81,01/25/2022,F
"GUJGASLTD"," EQ"," 24-Jan-2022"," 700.95"," 705.00"," 705.00"," 673.00"," 695.00"," 691.70"," 688.02"," 1200723"," 8261.21"," 45029"," 517671"," 43.11",27,35,38.52,01/24/2022,F
"GUJGASLTD"," EQ"," 21-Jan-2022"," 701.15"," 701.45"," 714.80"," 686.10"," 701.85"," 700.95"," 704.27"," 1897592"," 13364.12"," 45846"," 761735"," 40.14",41,35,38.32,01/21/2022,T
"GUJGASLTD"," EQ"," 20-Jan-2022"," 696.75"," 700.00"," 704.50"," 673.30"," 703.20"," 701.15"," 696.34"," 987944"," 6879.46"," 35321"," 297476"," 30.11",28,35,38.18,01/20/2022,F
"GUJGASLTD"," EQ"," 19-Jan-2022"," 676.05"," 672.80"," 699.35"," 672.80"," 695.10"," 696.75"," 689.46"," 1487548"," 10256.04"," 35701"," 818565"," 55.03",42,35,38.34,01/19/2022,T
"GUJGASLTD"," EQ"," 18-Jan-2022"," 696.10"," 694.30"," 697.75"," 672.60"," 677.85"," 676.05"," 683.34"," 943756"," 6449.06"," 30466"," 454037"," 48.11",31,35,38.09,01/18/2022,F
"GUJGASLTD"," EQ"," 17-Jan-2022"," 704.80"," 704.80"," 705.30"," 685.05"," 696.45"," 696.10"," 698.02"," 478212"," 3338.01"," 22215"," 218240"," 45.64",22,35,37.89,01/17/2022,F
"GUJGASLTD"," EQ"," 14-Jan-2022"," 715.35"," 712.00"," 721.80"," 695.50"," 702.90"," 704.80"," 711.83"," 1221311"," 8693.61"," 38505"," 418652"," 34.28",32,36,37.80,01/14/2022,F
"GUJGASLTD"," EQ"," 13-Jan-2022"," 713.50"," 712.00"," 719.00"," 706.00"," 715.45"," 715.35"," 712.45"," 423601"," 3017.96"," 14869"," 154382"," 36.45",28,36,37.86,01/13/2022,F
"GUJGASLTD"," EQ"," 12-Jan-2022"," 712.15"," 713.00"," 718.00"," 708.85"," 711.00"," 713.50"," 713.70"," 723948"," 5166.84"," 25879"," 305979"," 42.27",28,36,38.17,01/12/2022,F
"GUJGASLTD"," EQ"," 11-Jan-2022"," 691.35"," 690.00"," 714.00"," 685.65"," 713.00"," 712.15"," 706.02"," 1585866"," 11196.55"," 41136"," 558963"," 35.25",39,36,38.37,01/11/2022,F
"GUJGASLTD"," EQ"," 10-Jan-2022"," 684.55"," 685.55"," 705.90"," 685.55"," 691.00"," 691.35"," 697.82"," 2157040"," 15052.27"," 62962"," 708923"," 32.87",34,36,38.82,01/10/2022,F
"GUJGASLTD"," EQ"," 07-Jan-2022"," 669.20"," 668.00"," 686.95"," 663.00"," 685.00"," 684.55"," 677.73"," 1847696"," 12522.33"," 46399"," 660151"," 35.73",40,36,39.07,01/07/2022,F
"GUJGASLTD"," EQ"," 06-Jan-2022"," 642.30"," 636.25"," 671.30"," 635.65"," 670.90"," 669.20"," 660.05"," 1648740"," 10882.55"," 37625"," 602954"," 36.57",44,36,39.06,01/06/2022,F
"GUJGASLTD"," EQ"," 05-Jan-2022"," 649.60"," 645.00"," 648.80"," 640.05"," 643.85"," 642.30"," 643.80"," 369156"," 2376.64"," 13431"," 170947"," 46.31",27,36,39.13,01/05/2022,F
"GUJGASLTD"," EQ"," 04-Jan-2022"," 641.00"," 644.50"," 651.35"," 640.05"," 649.00"," 649.60"," 646.48"," 511475"," 3306.56"," 17383"," 168677"," 32.98",29,36,38.99,01/04/2022,F
"GUJGASLTD"," EQ"," 03-Jan-2022"," 634.85"," 637.00"," 644.00"," 635.00"," 641.20"," 641.00"," 639.66"," 677253"," 4332.12"," 24156"," 301355"," 44.50",28,36,38.93,01/03/2022,F
"GUJGASLTD"," EQ"," 31-Dec-2021"," 625.95"," 628.00"," 638.45"," 626.45"," 634.80"," 634.85"," 632.49"," 468703"," 2964.51"," 14578"," 204741"," 43.68",32,36,38.89,12/31/2021,F
"GUJGASLTD"," EQ"," 30-Dec-2021"," 631.55"," 631.55"," 633.85"," 619.30"," 625.00"," 625.95"," 626.38"," 625067"," 3915.28"," 17062"," 215869"," 34.54",37,36,38.72,12/30/2021,F
"GUJGASLTD"," EQ"," 29-Dec-2021"," 636.35"," 638.10"," 639.95"," 627.00"," 632.75"," 631.55"," 630.95"," 580417"," 3662.12"," 11423"," 299916"," 51.67",51,37,38.64,12/29/2021,T
"GUJGASLTD"," EQ"," 28-Dec-2021"," 625.05"," 628.50"," 638.90"," 626.25"," 636.90"," 636.35"," 635.06"," 456372"," 2898.25"," 14254"," 186001"," 40.76",32,36,38.25,12/28/2021,F
"GUJGASLTD"," EQ"," 27-Dec-2021"," 629.40"," 629.40"," 629.40"," 620.00"," 625.70"," 625.05"," 623.69"," 410303"," 2559.01"," 15845"," 150189"," 36.60",26,37,38.39,12/27/2021,F
"GUJGASLTD"," EQ"," 24-Dec-2021"," 634.10"," 630.00"," 637.00"," 625.75"," 629.95"," 629.40"," 630.86"," 437526"," 2760.16"," 15421"," 181656"," 41.52",28,37,38.58,12/24/2021,F
"GUJGASLTD"," EQ"," 23-Dec-2021"," 627.80"," 628.10"," 637.75"," 627.80"," 634.00"," 634.10"," 632.58"," 631054"," 3991.91"," 23897"," 175388"," 27.79",26,37,38.55,12/23/2021,F
"GUJGASLTD"," EQ"," 22-Dec-2021"," 626.80"," 629.90"," 637.10"," 622.55"," 628.00"," 627.80"," 629.72"," 710946"," 4476.95"," 23669"," 160968"," 22.64",30,37,38.98,12/22/2021,F
"GUJGASLTD"," EQ"," 21-Dec-2021"," 611.60"," 620.65"," 635.50"," 612.15"," 627.00"," 626.80"," 626.40"," 694265"," 4348.91"," 19206"," 219734"," 31.65",36,37,39.37,12/21/2021,F
"GUJGASLTD"," EQ"," 20-Dec-2021"," 626.35"," 614.00"," 617.75"," 592.00"," 613.50"," 611.60"," 608.23"," 937236"," 5700.53"," 32511"," 293545"," 31.32",29,37,39.64,12/20/2021,F
"GUJGASLTD"," EQ"," 17-Dec-2021"," 637.40"," 637.55"," 637.95"," 616.55"," 624.65"," 626.35"," 625.65"," 599271"," 3749.31"," 21304"," 239786"," 40.01",28,37,39.71,12/17/2021,F
"GUJGASLTD"," EQ"," 16-Dec-2021"," 648.50"," 651.40"," 655.25"," 628.00"," 637.60"," 637.40"," 638.26"," 986477"," 6296.33"," 36454"," 332459"," 33.70",27,37,39.79,12/16/2021,F
"GUJGASLTD"," EQ"," 15-Dec-2021"," 664.90"," 663.35"," 676.20"," 636.70"," 646.95"," 648.50"," 652.93"," 1535512"," 10025.78"," 45748"," 238176"," 15.51",34,37,39.95,12/15/2021,F
"GUJGASLTD"," EQ"," 14-Dec-2021"," 664.80"," 660.05"," 668.30"," 656.80"," 665.00"," 664.90"," 661.17"," 501164"," 3313.56"," 13796"," 256356"," 51.15",36,37,40.22,12/14/2021,F
"GUJGASLTD"," EQ"," 13-Dec-2021"," 665.30"," 668.00"," 676.00"," 662.30"," 666.40"," 664.80"," 669.08"," 402518"," 2693.18"," 12337"," 153672"," 38.18",33,37,40.15,12/13/2021,F
"GUJGASLTD"," EQ"," 10-Dec-2021"," 661.70"," 665.15"," 675.00"," 662.55"," 664.00"," 665.30"," 668.61"," 527123"," 3524.41"," 16532"," 120047"," 22.77",32,37,40.36,12/10/2021,F
"GUJGASLTD"," EQ"," 09-Dec-2021"," 665.05"," 667.10"," 669.90"," 658.40"," 666.00"," 661.70"," 662.52"," 468252"," 3102.27"," 11753"," 164414"," 35.11",40,38,40.64,12/09/2021,F
"GUJGASLTD"," EQ"," 08-Dec-2021"," 662.65"," 664.25"," 669.35"," 656.15"," 666.05"," 665.05"," 662.09"," 616289"," 4080.41"," 16725"," 280400"," 45.50",37,37,40.94,12/08/2021,F
"GUJGASLTD"," EQ"," 07-Dec-2021"," 657.60"," 660.00"," 668.00"," 650.55"," 663.20"," 662.65"," 659.89"," 986533"," 6510.03"," 30690"," 217099"," 22.01",32,37,40.78,12/07/2021,F
"GUJGASLTD"," EQ"," 06-Dec-2021"," 662.40"," 664.90"," 668.45"," 651.00"," 658.00"," 657.60"," 658.74"," 1070758"," 7053.56"," 27829"," 199971"," 18.68",38,38,40.90,12/06/2021,F
"GUJGASLTD"," EQ"," 03-Dec-2021"," 686.65"," 688.90"," 694.00"," 655.45"," 662.50"," 662.40"," 677.17"," 1840133"," 12460.88"," 45117"," 610704"," 33.19",41,38,41.41,12/03/2021,F
"GUJGASLTD"," EQ"," 02-Dec-2021"," 665.70"," 665.70"," 696.00"," 661.20"," 686.10"," 686.65"," 685.26"," 3017845"," 20680.11"," 67414"," 784085"," 25.98",45,37,41.71,12/02/2021,F
"GUJGASLTD"," EQ"," 01-Dec-2021"," 669.95"," 674.00"," 674.00"," 652.25"," 666.25"," 665.70"," 660.57"," 923142"," 6098.00"," 24158"," 308594"," 33.43",38,37,42.13,12/01/2021,F
"GUJGASLTD"," EQ"," 30-Nov-2021"," 660.25"," 659.00"," 678.35"," 656.15"," 669.00"," 669.95"," 670.63"," 1041053"," 6981.56"," 30653"," 313234"," 30.09",34,37,42.24,11/30/2021,F
"GUJGASLTD"," EQ"," 29-Nov-2021"," 656.30"," 650.05"," 664.75"," 633.55"," 660.35"," 660.25"," 654.58"," 666053"," 4359.84"," 31151"," 263548"," 39.57",21,37,42.15,11/29/2021,F
"GUJGASLTD"," EQ"," 26-Nov-2021"," 662.95"," 660.20"," 677.30"," 650.50"," 657.00"," 656.30"," 665.76"," 1628092"," 10839.21"," 47793"," 375897"," 23.09",34,37,42.07,11/26/2021,F
"GUJGASLTD"," EQ"," 25-Nov-2021"," 658.10"," 656.50"," 665.00"," 650.55"," 662.85"," 662.95"," 658.20"," 560627"," 3690.06"," 22256"," 202166"," 36.06",25,38,42.08,11/25/2021,F
"GUJGASLTD"," EQ"," 24-Nov-2021"," 648.05"," 649.20"," 668.00"," 649.20"," 656.10"," 658.10"," 661.41"," 1153443"," 7628.96"," 36977"," 347466"," 30.12",31,38,41.93,11/24/2021,F
"GUJGASLTD"," EQ"," 23-Nov-2021"," 622.40"," 622.40"," 652.70"," 616.70"," 651.00"," 648.05"," 638.89"," 1254932"," 8017.64"," 28614"," 610067"," 48.61",44,38,41.90,11/23/2021,T
"GUJGASLTD"," EQ"," 22-Nov-2021"," 638.35"," 630.00"," 644.90"," 614.05"," 623.55"," 622.40"," 629.13"," 1643780"," 10341.57"," 49750"," 420947"," 25.61",33,38,41.38,11/22/2021,F
"GUJGASLTD"," EQ"," 18-Nov-2021"," 658.05"," 656.75"," 659.95"," 627.90"," 637.00"," 638.35"," 639.66"," 1138266"," 7281.04"," 27077"," 387870"," 34.08",42,38,40.95,11/18/2021,F
"GUJGASLTD"," EQ"," 17-Nov-2021"," 669.65"," 665.00"," 673.60"," 655.00"," 656.05"," 658.05"," 661.92"," 683712"," 4525.65"," 16830"," 297231"," 43.47",41,38,41.07,11/17/2021,T
"GUJGASLTD"," EQ"," 16-Nov-2021"," 675.65"," 677.00"," 684.00"," 661.00"," 668.80"," 669.65"," 673.49"," 1089751"," 7339.39"," 27191"," 385483"," 35.37",40,38,40.73,11/16/2021,F
"GUJGASLTD"," EQ"," 15-Nov-2021"," 669.00"," 671.95"," 683.85"," 665.10"," 676.00"," 675.65"," 676.58"," 1396236"," 9446.67"," 41736"," 626860"," 44.90",33,38,40.70,11/15/2021,F
"GUJGASLTD"," EQ"," 12-Nov-2021"," 653.90"," 655.10"," 675.00"," 652.30"," 669.95"," 669.00"," 665.44"," 1550486"," 10317.56"," 91917"," 802835"," 51.78",17,38,40.30,11/12/2021,F
"GUJGASLTD"," EQ"," 11-Nov-2021"," 659.45"," 658.10"," 663.75"," 648.40"," 654.35"," 653.90"," 655.02"," 1413154"," 9256.49"," 23705"," 831639"," 58.85",60,38,39.99,11/11/2021,T
"GUJGASLTD"," EQ"," 10-Nov-2021"," 645.25"," 640.50"," 661.85"," 639.45"," 660.00"," 659.45"," 654.67"," 1558188"," 10200.98"," 33752"," 799508"," 51.31",46,38,39.48,11/10/2021,T
