symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"UPL"," EQ"," 25-Mar-2022"," 799.10"," 807.00"," 814.50"," 791.60"," 793.00"," 798.55"," 805.24"," 4762541"," 38349.89"," 75224"," 2127059"," 44.66",63,41,39.88,03/25/2022,T
"UPL"," EQ"," 24-Mar-2022"," 793.95"," 795.00"," 801.85"," 789.05"," 796.10"," 799.10"," 796.43"," 2117672"," 16865.82"," 55789"," 989391"," 46.72",38,41,39.65,03/24/2022,F
"UPL"," EQ"," 23-Mar-2022"," 780.95"," 780.50"," 796.40"," 780.00"," 794.80"," 793.95"," 787.49"," 2365083"," 18624.89"," 48785"," 1046984"," 44.27",48,41,39.45,03/23/2022,T
"UPL"," EQ"," 22-Mar-2022"," 775.90"," 775.00"," 787.00"," 771.05"," 780.10"," 780.95"," 779.99"," 2788207"," 21747.60"," 65476"," 918656"," 32.95",43,41,39.25,03/22/2022,F
"UPL"," EQ"," 21-Mar-2022"," 761.60"," 770.00"," 777.75"," 760.00"," 775.00"," 775.90"," 772.31"," 3221656"," 24881.10"," 60155"," 1629487"," 50.58",54,41,39.21,03/21/2022,T
"UPL"," EQ"," 17-Mar-2022"," 752.45"," 759.00"," 764.50"," 754.55"," 762.50"," 761.60"," 759.89"," 2297497"," 17458.40"," 55775"," 1275399"," 55.51",41,41,39.26,03/17/2022,F
"UPL"," EQ"," 16-Mar-2022"," 741.00"," 749.95"," 756.65"," 743.90"," 750.50"," 752.45"," 750.06"," 2879590"," 21598.68"," 54470"," 1254287"," 43.56",53,41,38.90,03/16/2022,T
"UPL"," EQ"," 15-Mar-2022"," 730.75"," 730.00"," 746.00"," 728.55"," 739.15"," 741.00"," 739.61"," 4051465"," 29964.96"," 95313"," 1814484"," 44.79",43,41,38.82,03/15/2022,T
"UPL"," EQ"," 14-Mar-2022"," 725.45"," 728.00"," 733.55"," 720.10"," 730.10"," 730.75"," 729.36"," 2845328"," 20752.67"," 64175"," 1589146"," 55.85",44,41,38.85,03/14/2022,T
"UPL"," EQ"," 11-Mar-2022"," 724.20"," 723.85"," 729.00"," 716.20"," 724.40"," 725.45"," 722.92"," 2559363"," 18502.23"," 80043"," 1159123"," 45.29",32,41,38.67,03/11/2022,F
"UPL"," EQ"," 10-Mar-2022"," 725.20"," 731.55"," 742.40"," 720.00"," 721.00"," 724.20"," 731.48"," 4218131"," 30854.91"," 116618"," 1721019"," 40.80",36,41,38.30,03/10/2022,F
"UPL"," EQ"," 09-Mar-2022"," 724.20"," 732.50"," 734.80"," 712.70"," 725.00"," 725.20"," 722.69"," 2888800"," 20877.15"," 88482"," 984482"," 34.08",33,42,37.91,03/09/2022,F
"UPL"," EQ"," 08-Mar-2022"," 731.90"," 730.40"," 740.95"," 707.60"," 725.05"," 724.20"," 722.29"," 4117923"," 29743.45"," 113466"," 1167237"," 28.35",36,42,38.08,03/08/2022,F
"UPL"," EQ"," 04-Mar-2022"," 713.75"," 712.00"," 735.90"," 704.80"," 713.55"," 713.75"," 724.01"," 10189495"," 73772.74"," 199689"," 3299854"," 32.38",51,42,37.81,03/04/2022,F
"UPL"," EQ"," 03-Mar-2022"," 689.55"," 707.90"," 724.60"," 688.95"," 720.35"," 713.75"," 701.22"," 9676442"," 67853.23"," 172477"," 4326531"," 44.71",56,42,37.79,03/03/2022,T
"UPL"," EQ"," 02-Mar-2022"," 665.45"," 663.65"," 697.00"," 659.50"," 689.75"," 689.55"," 684.64"," 8499711"," 58192.78"," 139116"," 4630452"," 54.48",61,42,37.70,03/02/2022,T
"UPL"," EQ"," 28-Feb-2022"," 654.70"," 651.00"," 668.95"," 644.10"," 665.60"," 665.45"," 657.36"," 3060915"," 20121.15"," 67782"," 1461928"," 47.76",45,41,37.51,02/28/2022,T
"UPL"," EQ"," 25-Feb-2022"," 632.30"," 656.20"," 663.85"," 644.65"," 654.00"," 654.70"," 654.14"," 3890925"," 25452.18"," 96168"," 1524825"," 39.19",40,41,37.46,02/25/2022,F
"UPL"," EQ"," 24-Feb-2022"," 688.00"," 673.00"," 674.75"," 622.00"," 631.00"," 632.30"," 647.08"," 5453651"," 35289.41"," 132743"," 2920119"," 53.54",41,41,37.49,02/24/2022,F
"UPL"," EQ"," 23-Feb-2022"," 693.35"," 700.05"," 702.65"," 684.85"," 686.35"," 688.00"," 694.04"," 2713053"," 18829.80"," 65754"," 1364625"," 50.30",41,41,37.05,02/23/2022,F
"UPL"," EQ"," 22-Feb-2022"," 704.15"," 689.00"," 695.70"," 676.25"," 695.20"," 693.35"," 685.37"," 2841052"," 19471.63"," 85340"," 991143"," 34.89",33,41,36.63,02/22/2022,F
"UPL"," EQ"," 21-Feb-2022"," 724.95"," 724.90"," 724.90"," 701.85"," 704.35"," 704.15"," 707.67"," 2577455"," 18239.91"," 48304"," 1035959"," 40.19",53,41,36.64,02/21/2022,T
"UPL"," EQ"," 18-Feb-2022"," 727.05"," 728.00"," 736.20"," 719.00"," 725.00"," 724.95"," 727.82"," 1973922"," 14366.50"," 42634"," 606187"," 30.71",46,41,36.59,02/18/2022,F
"UPL"," EQ"," 17-Feb-2022"," 735.80"," 737.00"," 742.70"," 725.75"," 726.50"," 727.05"," 731.66"," 1174134"," 8590.64"," 31361"," 523266"," 44.57",37,41,36.68,02/17/2022,F
"UPL"," EQ"," 16-Feb-2022"," 744.70"," 750.00"," 750.00"," 732.30"," 734.95"," 735.80"," 742.07"," 1398493"," 10377.73"," 39638"," 532194"," 38.05",35,41,36.46,02/16/2022,F
"UPL"," EQ"," 15-Feb-2022"," 721.70"," 725.10"," 746.95"," 716.15"," 745.55"," 744.70"," 729.54"," 1467359"," 10704.99"," 58514"," 560099"," 38.17",25,41,36.35,02/15/2022,F
"UPL"," EQ"," 14-Feb-2022"," 753.20"," 744.30"," 749.05"," 716.00"," 716.00"," 721.70"," 736.50"," 1950243"," 14363.53"," 54288"," 837496"," 42.94",36,42,36.34,02/14/2022,F
"UPL"," EQ"," 11-Feb-2022"," 770.10"," 765.85"," 766.95"," 750.00"," 751.35"," 753.20"," 756.76"," 1621795"," 12273.12"," 53454"," 783953"," 48.34",30,42,36.28,02/11/2022,F
"UPL"," EQ"," 10-Feb-2022"," 770.50"," 775.00"," 778.95"," 767.95"," 769.10"," 770.10"," 772.69"," 2561635"," 19793.59"," 59463"," 1528509"," 59.67",43,42,36.12,02/10/2022,T
"UPL"," EQ"," 09-Feb-2022"," 758.65"," 764.50"," 772.45"," 760.00"," 772.00"," 770.50"," 767.47"," 1342782"," 10305.43"," 40319"," 494238"," 36.81",33,42,35.62,02/09/2022,F
"UPL"," EQ"," 08-Feb-2022"," 756.60"," 757.00"," 763.95"," 744.10"," 758.00"," 758.65"," 755.08"," 2063533"," 15581.31"," 61970"," 927869"," 44.97",33,43,35.39,02/08/2022,F
"UPL"," EQ"," 07-Feb-2022"," 767.20"," 764.20"," 774.90"," 750.25"," 756.95"," 756.60"," 761.12"," 1255955"," 9559.35"," 38720"," 384447"," 30.61",32,43,35.16,02/07/2022,F
"UPL"," EQ"," 04-Feb-2022"," 773.50"," 773.60"," 776.80"," 765.00"," 766.15"," 767.20"," 770.62"," 992052"," 7644.96"," 38325"," 321894"," 32.45",26,43,35.11,02/04/2022,F
"UPL"," EQ"," 03-Feb-2022"," 785.95"," 788.95"," 791.00"," 771.00"," 771.95"," 773.50"," 778.54"," 1493402"," 11626.71"," 49491"," 651058"," 43.60",30,43,35.15,02/03/2022,F
"UPL"," EQ"," 02-Feb-2022"," 785.00"," 786.60"," 799.60"," 782.00"," 786.25"," 785.95"," 790.39"," 1771793"," 14004.00"," 56070"," 579406"," 32.70",32,43,35.10,02/02/2022,F
"UPL"," EQ"," 01-Feb-2022"," 776.50"," 785.00"," 795.60"," 766.90"," 786.00"," 785.00"," 782.59"," 3693825"," 28907.63"," 80797"," 918775"," 24.87",46,43,34.76,02/01/2022,F
"UPL"," EQ"," 31-Jan-2022"," 790.25"," 803.75"," 812.70"," 775.00"," 780.10"," 776.50"," 794.13"," 5138792"," 40808.93"," 118956"," 1055563"," 20.54",43,43,34.78,01/31/2022,F
"UPL"," EQ"," 28-Jan-2022"," 771.95"," 778.00"," 806.50"," 777.55"," 791.10"," 790.25"," 794.81"," 4007799"," 31854.49"," 76429"," 1690068"," 42.17",52,44,34.89,01/28/2022,T
"UPL"," EQ"," 27-Jan-2022"," 791.15"," 794.85"," 794.85"," 765.00"," 771.50"," 771.95"," 774.63"," 2436411"," 18873.27"," 62468"," 1067079"," 43.80",39,44,34.86,01/27/2022,F
"UPL"," EQ"," 25-Jan-2022"," 762.60"," 754.50"," 795.15"," 746.10"," 789.40"," 791.15"," 778.37"," 2981161"," 23204.53"," 76880"," 1141826"," 38.30",39,44,34.40,01/25/2022,F
"UPL"," EQ"," 24-Jan-2022"," 786.90"," 776.70"," 786.00"," 755.50"," 759.00"," 762.60"," 769.63"," 1663579"," 12803.38"," 45608"," 532517"," 32.01",36,44,34.17,01/24/2022,F
"UPL"," EQ"," 21-Jan-2022"," 808.45"," 801.00"," 804.85"," 780.10"," 787.85"," 786.90"," 794.60"," 1449766"," 11519.81"," 41941"," 492383"," 33.96",35,44,34.14,01/21/2022,F
"UPL"," EQ"," 20-Jan-2022"," 813.25"," 820.00"," 823.00"," 804.00"," 810.65"," 808.45"," 811.60"," 1950781"," 15832.60"," 56675"," 401209"," 20.57",34,44,34.12,01/20/2022,F
