symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HINDPETRO"," EQ"," 25-Mar-2022"," 275.00"," 278.40"," 278.45"," 270.80"," 271.70"," 271.40"," 273.73"," 4748653"," 12998.28"," 43166"," 1810299"," 38.12",110,76,40.10,03/25/2022,F
"HINDPETRO"," EQ"," 24-Mar-2022"," 284.65"," 281.20"," 281.80"," 272.60"," 275.05"," 275.00"," 276.05"," 6566646"," 18127.38"," 66530"," 2387247"," 36.35",99,75,40.13,03/24/2022,F
"HINDPETRO"," EQ"," 23-Mar-2022"," 280.15"," 283.00"," 288.40"," 281.40"," 284.20"," 284.65"," 285.01"," 6588818"," 18778.91"," 75649"," 2579826"," 39.15",87,75,40.40,03/23/2022,F
"HINDPETRO"," EQ"," 22-Mar-2022"," 276.20"," 274.65"," 285.90"," 274.65"," 280.40"," 280.15"," 281.11"," 8527328"," 23971.25"," 114290"," 2508595"," 29.42",75,75,40.46,03/22/2022,F
"HINDPETRO"," EQ"," 21-Mar-2022"," 281.45"," 277.30"," 279.65"," 273.25"," 276.00"," 276.20"," 275.95"," 7648456"," 21106.16"," 55268"," 2307100"," 30.16",138,75,40.52,03/21/2022,F
"HINDPETRO"," EQ"," 17-Mar-2022"," 278.35"," 280.00"," 283.25"," 276.80"," 280.80"," 281.45"," 281.05"," 5806158"," 16317.96"," 59542"," 2629330"," 45.29",98,74,40.44,03/17/2022,T
"HINDPETRO"," EQ"," 16-Mar-2022"," 273.55"," 277.00"," 279.25"," 271.40"," 278.30"," 278.35"," 275.76"," 4897928"," 13506.60"," 45572"," 1271657"," 25.96",107,74,40.43,03/16/2022,F
"HINDPETRO"," EQ"," 15-Mar-2022"," 279.20"," 282.05"," 283.20"," 270.25"," 273.50"," 273.55"," 276.78"," 8035725"," 22241.13"," 83353"," 1671998"," 20.81",96,73,40.69,03/15/2022,F
"HINDPETRO"," EQ"," 14-Mar-2022"," 294.30"," 295.00"," 295.00"," 277.50"," 279.20"," 279.20"," 281.94"," 8883521"," 25046.13"," 99737"," 3247086"," 36.55",89,73,41.04,03/14/2022,F
"HINDPETRO"," EQ"," 11-Mar-2022"," 279.15"," 279.60"," 295.90"," 278.40"," 295.00"," 294.30"," 288.94"," 9299318"," 26869.46"," 101610"," 2619991"," 28.17",92,73,41.11,03/11/2022,F
"HINDPETRO"," EQ"," 10-Mar-2022"," 269.10"," 275.05"," 289.00"," 275.05"," 278.10"," 279.15"," 281.65"," 11136446"," 31366.12"," 104847"," 2796905"," 25.11",106,73,41.32,03/10/2022,F
"HINDPETRO"," EQ"," 09-Mar-2022"," 270.50"," 272.00"," 274.50"," 267.50"," 269.70"," 269.10"," 270.13"," 5546869"," 14983.84"," 74708"," 1703759"," 30.72",74,73,41.49,03/09/2022,F
"HINDPETRO"," EQ"," 08-Mar-2022"," 276.30"," 276.40"," 278.40"," 263.55"," 270.50"," 270.50"," 269.34"," 8719208"," 23484.38"," 119879"," 3065859"," 35.16",73,73,41.57,03/08/2022,F
"HINDPETRO"," EQ"," 04-Mar-2022"," 279.05"," 281.80"," 287.15"," 274.75"," 284.05"," 284.65"," 282.02"," 9267170"," 26135.56"," 114787"," 1954852"," 21.09",81,73,41.14,03/04/2022,F
"HINDPETRO"," EQ"," 03-Mar-2022"," 266.80"," 270.00"," 284.00"," 268.15"," 279.55"," 279.05"," 279.45"," 12455444"," 34806.17"," 140058"," 2962425"," 23.78",89,73,41.20,03/03/2022,F
"HINDPETRO"," EQ"," 02-Mar-2022"," 273.25"," 270.00"," 281.50"," 265.20"," 267.90"," 266.80"," 271.85"," 5506064"," 14968.50"," 67812"," 2153558"," 39.11",81,73,41.45,03/02/2022,F
"HINDPETRO"," EQ"," 28-Feb-2022"," 267.80"," 264.50"," 274.60"," 263.05"," 273.25"," 273.25"," 271.88"," 3693777"," 10042.74"," 52000"," 1637191"," 44.32",71,73,41.66,02/28/2022,F
"HINDPETRO"," EQ"," 25-Feb-2022"," 272.15"," 278.00"," 278.85"," 264.25"," 268.25"," 267.80"," 269.81"," 5643597"," 15227.13"," 83355"," 2283343"," 40.46",68,73,41.74,02/25/2022,F
"HINDPETRO"," EQ"," 24-Feb-2022"," 289.60"," 281.90"," 286.15"," 270.95"," 272.70"," 272.15"," 278.28"," 5347242"," 14880.37"," 64433"," 2379100"," 44.49",83,73,41.82,02/24/2022,T
"HINDPETRO"," EQ"," 23-Feb-2022"," 291.00"," 291.00"," 294.95"," 288.00"," 290.50"," 289.60"," 290.58"," 2110155"," 6131.72"," 30217"," 731261"," 34.65",70,73,41.97,02/23/2022,F
"HINDPETRO"," EQ"," 22-Feb-2022"," 292.75"," 285.00"," 292.05"," 267.00"," 290.55"," 291.00"," 286.84"," 3211596"," 9212.20"," 41584"," 791710"," 24.65",77,73,42.05,02/22/2022,F
"HINDPETRO"," EQ"," 21-Feb-2022"," 298.75"," 295.00"," 302.00"," 291.10"," 292.20"," 292.75"," 295.92"," 1795516"," 5313.32"," 43196"," 641081"," 35.70",42,73,42.47,02/21/2022,F
"HINDPETRO"," EQ"," 18-Feb-2022"," 301.30"," 301.30"," 305.65"," 297.60"," 297.80"," 298.75"," 301.02"," 2401318"," 7228.55"," 34020"," 890390"," 37.08",71,74,42.72,02/18/2022,F
"HINDPETRO"," EQ"," 17-Feb-2022"," 304.65"," 306.30"," 306.30"," 298.25"," 301.55"," 301.30"," 302.35"," 2595292"," 7846.99"," 28477"," 407884"," 15.72",91,74,42.81,02/17/2022,F
"HINDPETRO"," EQ"," 16-Feb-2022"," 295.50"," 296.70"," 307.00"," 294.00"," 304.00"," 304.65"," 302.92"," 3789877"," 11480.46"," 46481"," 1426929"," 37.65",82,74,43.28,02/16/2022,F
"HINDPETRO"," EQ"," 15-Feb-2022"," 289.75"," 291.00"," 296.25"," 282.55"," 295.00"," 295.50"," 289.29"," 2234858"," 6465.33"," 46655"," 863371"," 38.63",48,74,43.41,02/15/2022,F
"HINDPETRO"," EQ"," 14-Feb-2022"," 301.65"," 294.00"," 298.80"," 288.15"," 288.90"," 289.75"," 293.20"," 1923577"," 5639.91"," 32035"," 762878"," 39.66",60,74,43.67,02/14/2022,F
"HINDPETRO"," EQ"," 11-Feb-2022"," 299.50"," 296.00"," 304.00"," 295.55"," 300.85"," 301.65"," 301.43"," 3903257"," 11765.52"," 38906"," 1946552"," 49.87",100,75,43.74,02/11/2022,T
"HINDPETRO"," EQ"," 10-Feb-2022"," 295.80"," 296.65"," 300.85"," 295.20"," 299.00"," 299.50"," 298.71"," 3321223"," 9920.92"," 70172"," 1977220"," 59.53",47,75,43.82,02/10/2022,F
"HINDPETRO"," EQ"," 09-Feb-2022"," 287.20"," 288.80"," 296.95"," 287.20"," 295.55"," 295.80"," 293.22"," 4618523"," 13542.33"," 64576"," 2444817"," 52.94",72,75,43.64,02/09/2022,F
"HINDPETRO"," EQ"," 08-Feb-2022"," 285.05"," 286.15"," 287.95"," 281.55"," 287.00"," 287.20"," 284.82"," 4430556"," 12618.90"," 48438"," 1718529"," 38.79",91,75,43.57,02/08/2022,F
"HINDPETRO"," EQ"," 07-Feb-2022"," 281.10"," 281.65"," 286.25"," 278.55"," 285.00"," 285.05"," 283.20"," 3656235"," 10354.32"," 63381"," 1725894"," 47.20",58,75,43.52,02/07/2022,F
"HINDPETRO"," EQ"," 04-Feb-2022"," 284.55"," 286.00"," 286.25"," 280.30"," 281.30"," 281.10"," 282.61"," 3858006"," 10903.22"," 55526"," 1949213"," 50.52",69,75,43.16,02/04/2022,F
"HINDPETRO"," EQ"," 03-Feb-2022"," 290.65"," 291.00"," 291.45"," 283.90"," 284.25"," 284.55"," 286.78"," 3847964"," 11035.15"," 78813"," 1705413"," 44.32",49,76,43.04,02/03/2022,F
"HINDPETRO"," EQ"," 02-Feb-2022"," 291.50"," 293.05"," 294.50"," 290.00"," 290.35"," 290.65"," 292.02"," 3724302"," 10875.74"," 57728"," 1494535"," 40.13",65,76,42.95,02/02/2022,F
"HINDPETRO"," EQ"," 01-Feb-2022"," 314.10"," 310.00"," 310.00"," 290.00"," 291.90"," 291.50"," 295.85"," 12016893"," 35552.44"," 133278"," 4854092"," 40.39",90,76,42.88,02/01/2022,F
"HINDPETRO"," EQ"," 31-Jan-2022"," 313.45"," 316.85"," 322.35"," 313.10"," 314.50"," 314.10"," 317.79"," 2816064"," 8949.19"," 38134"," 1210706"," 42.99",74,76,42.87,01/31/2022,F
"HINDPETRO"," EQ"," 28-Jan-2022"," 308.30"," 310.15"," 322.60"," 310.00"," 313.50"," 313.45"," 315.71"," 4242254"," 13393.19"," 53467"," 1275399"," 30.06",79,76,43.04,01/28/2022,F
"HINDPETRO"," EQ"," 27-Jan-2022"," 311.35"," 309.00"," 312.80"," 305.55"," 308.35"," 308.30"," 308.51"," 3620065"," 11168.17"," 52917"," 1718526"," 47.47",68,76,43.26,01/27/2022,F
"HINDPETRO"," EQ"," 25-Jan-2022"," 303.50"," 300.60"," 313.45"," 300.30"," 309.00"," 311.35"," 309.02"," 4044653"," 12498.96"," 68405"," 1832478"," 45.31",59,77,43.13,01/25/2022,F
"HINDPETRO"," EQ"," 24-Jan-2022"," 310.50"," 309.60"," 313.65"," 300.75"," 304.20"," 303.50"," 307.34"," 2658907"," 8171.82"," 45745"," 803907"," 30.23",58,78,43.00,01/24/2022,F
"HINDPETRO"," EQ"," 21-Jan-2022"," 325.05"," 323.65"," 325.65"," 309.30"," 310.80"," 310.50"," 315.21"," 2865636"," 9032.68"," 37990"," 1039021"," 36.26",75,78,43.16,01/21/2022,F
"HINDPETRO"," EQ"," 20-Jan-2022"," 324.35"," 323.00"," 332.20"," 322.20"," 325.40"," 325.05"," 327.58"," 3091537"," 10127.39"," 43757"," 986222"," 31.90",71,78,43.40,01/20/2022,F
"HINDPETRO"," EQ"," 19-Jan-2022"," 323.85"," 320.55"," 329.00"," 318.20"," 324.00"," 324.35"," 324.43"," 2566812"," 8327.50"," 36491"," 991757"," 38.64",70,78,43.39,01/19/2022,F
"HINDPETRO"," EQ"," 18-Jan-2022"," 327.95"," 328.10"," 330.45"," 323.00"," 323.90"," 323.85"," 327.15"," 2935659"," 9604.13"," 36954"," 1336140"," 45.51",79,78,43.70,01/18/2022,T
"HINDPETRO"," EQ"," 17-Jan-2022"," 325.00"," 327.35"," 330.40"," 325.40"," 327.95"," 327.95"," 328.12"," 3892010"," 12770.43"," 47828"," 2288219"," 58.79",81,78,43.88,01/17/2022,T
"HINDPETRO"," EQ"," 14-Jan-2022"," 321.75"," 321.50"," 326.40"," 319.50"," 324.60"," 325.00"," 324.15"," 3786535"," 12273.98"," 42668"," 1872685"," 49.46",89,78,43.61,01/14/2022,T
"HINDPETRO"," EQ"," 13-Jan-2022"," 319.15"," 320.80"," 323.45"," 318.15"," 321.90"," 321.75"," 321.47"," 2386473"," 7671.69"," 56262"," 1387286"," 58.13",42,78,43.52,01/13/2022,F
"HINDPETRO"," EQ"," 12-Jan-2022"," 318.75"," 320.80"," 325.85"," 316.65"," 318.00"," 319.15"," 321.12"," 3166104"," 10166.87"," 38279"," 1821091"," 57.52",83,79,43.30,01/12/2022,T
"HINDPETRO"," EQ"," 11-Jan-2022"," 326.55"," 326.00"," 327.45"," 317.70"," 319.20"," 318.75"," 323.31"," 3046616"," 9850.07"," 33888"," 1773551"," 58.21",90,79,43.17,01/11/2022,T
"HINDPETRO"," EQ"," 10-Jan-2022"," 320.00"," 320.00"," 327.85"," 319.00"," 327.00"," 326.55"," 324.11"," 2593083"," 8404.31"," 54900"," 1186135"," 45.74",47,79,43.20,01/10/2022,F
"HINDPETRO"," EQ"," 07-Jan-2022"," 314.15"," 314.70"," 325.00"," 314.70"," 319.00"," 320.00"," 319.45"," 4815366"," 15382.81"," 65154"," 1513531"," 31.43",74,80,43.22,01/07/2022,F
"HINDPETRO"," EQ"," 06-Jan-2022"," 314.30"," 315.95"," 317.00"," 308.50"," 314.50"," 314.15"," 314.05"," 4371260"," 13728.10"," 57021"," 1944605"," 44.49",77,80,43.56,01/06/2022,F
"HINDPETRO"," EQ"," 05-Jan-2022"," 297.90"," 298.95"," 315.45"," 298.00"," 313.75"," 314.30"," 308.39"," 7511958"," 23166.14"," 69701"," 2463140"," 32.79",108,80,43.64,01/05/2022,F
"HINDPETRO"," EQ"," 04-Jan-2022"," 296.90"," 298.95"," 301.00"," 295.00"," 298.00"," 297.90"," 297.46"," 2276944"," 6773.04"," 34241"," 1436124"," 63.07",66,80,43.91,01/04/2022,F
"HINDPETRO"," EQ"," 03-Jan-2022"," 292.35"," 292.90"," 297.55"," 292.35"," 296.50"," 296.90"," 295.85"," 1016360"," 3006.93"," 16613"," 453939"," 44.66",61,80,43.54,01/03/2022,F
"HINDPETRO"," EQ"," 31-Dec-2021"," 288.65"," 290.65"," 294.65"," 287.60"," 292.15"," 292.35"," 292.37"," 1210196"," 3538.27"," 20679"," 536136"," 44.30",59,80,43.47,12/31/2021,F
"HINDPETRO"," EQ"," 30-Dec-2021"," 292.40"," 292.00"," 293.50"," 287.75"," 288.40"," 288.65"," 289.70"," 1319776"," 3823.37"," 18407"," 590630"," 44.75",72,80,43.32,12/30/2021,F
"HINDPETRO"," EQ"," 29-Dec-2021"," 294.25"," 294.50"," 296.45"," 290.30"," 291.35"," 292.40"," 292.42"," 1797810"," 5257.21"," 27272"," 1137325"," 63.26",66,81,43.37,12/29/2021,F
"HINDPETRO"," EQ"," 28-Dec-2021"," 290.75"," 291.20"," 295.40"," 290.75"," 293.75"," 294.25"," 293.96"," 973947"," 2863.05"," 29657"," 497609"," 51.09",33,81,43.21,12/28/2021,F
"HINDPETRO"," EQ"," 27-Dec-2021"," 291.65"," 291.00"," 291.65"," 286.00"," 290.25"," 290.75"," 289.03"," 908345"," 2625.43"," 23452"," 257203"," 28.32",39,82,43.07,12/27/2021,F
"HINDPETRO"," EQ"," 24-Dec-2021"," 294.80"," 294.90"," 296.00"," 290.10"," 291.05"," 291.65"," 292.73"," 1499093"," 4388.26"," 17992"," 596344"," 39.78",83,82,43.42,12/24/2021,F
"HINDPETRO"," EQ"," 23-Dec-2021"," 288.15"," 291.00"," 297.60"," 290.55"," 294.60"," 294.80"," 294.30"," 3804226"," 11196.00"," 38618"," 2027310"," 53.29",99,82,43.54,12/23/2021,T
"HINDPETRO"," EQ"," 22-Dec-2021"," 281.55"," 283.10"," 290.10"," 280.60"," 290.00"," 288.15"," 285.71"," 3816836"," 10904.89"," 48996"," 1618525"," 42.40",78,82,43.47,12/22/2021,F
"HINDPETRO"," EQ"," 21-Dec-2021"," 276.90"," 277.10"," 283.50"," 277.00"," 283.50"," 281.55"," 280.72"," 1826393"," 5127.04"," 31478"," 611354"," 33.47",58,82,43.35,12/21/2021,F
"HINDPETRO"," EQ"," 20-Dec-2021"," 287.35"," 284.70"," 285.40"," 274.75"," 277.00"," 276.90"," 278.46"," 4138327"," 11523.78"," 51581"," 1251135"," 30.23",80,82,43.50,12/20/2021,F
"HINDPETRO"," EQ"," 17-Dec-2021"," 297.80"," 297.80"," 298.65"," 286.60"," 288.30"," 287.35"," 291.12"," 2730995"," 7950.50"," 36277"," 968922"," 35.48",75,82,43.82,12/17/2021,F
"HINDPETRO"," EQ"," 16-Dec-2021"," 300.50"," 302.00"," 304.00"," 296.75"," 298.35"," 297.80"," 299.16"," 1851934"," 5540.32"," 23934"," 819203"," 44.23",77,83,44.08,12/16/2021,F
"HINDPETRO"," EQ"," 15-Dec-2021"," 301.25"," 301.65"," 307.70"," 299.55"," 301.00"," 300.50"," 304.29"," 4337986"," 13200.18"," 60506"," 1836471"," 42.33",72,83,44.12,12/15/2021,F
"HINDPETRO"," EQ"," 14-Dec-2021"," 299.60"," 300.20"," 303.95"," 297.65"," 300.75"," 301.25"," 301.14"," 3456986"," 10410.32"," 38198"," 1459745"," 42.23",91,84,43.98,12/14/2021,F
"HINDPETRO"," EQ"," 13-Dec-2021"," 307.35"," 310.00"," 312.10"," 298.75"," 300.40"," 299.60"," 303.88"," 3048551"," 9263.98"," 37512"," 1247107"," 40.91",81,84,44.05,12/13/2021,F
"HINDPETRO"," EQ"," 10-Dec-2021"," 305.45"," 303.15"," 309.40"," 303.15"," 307.00"," 307.35"," 306.97"," 1642287"," 5041.38"," 16723"," 680285"," 41.42",98,84,44.16,12/10/2021,F
"HINDPETRO"," EQ"," 09-Dec-2021"," 301.75"," 303.30"," 307.15"," 300.50"," 305.70"," 305.45"," 303.90"," 4045998"," 12295.97"," 37677"," 1446159"," 35.74",107,84,44.21,12/09/2021,F
"HINDPETRO"," EQ"," 08-Dec-2021"," 304.05"," 303.80"," 306.90"," 300.30"," 302.00"," 301.75"," 303.31"," 2307251"," 6998.10"," 33526"," 819935"," 35.54",69,84,44.38,12/08/2021,F
"HINDPETRO"," EQ"," 07-Dec-2021"," 298.05"," 299.50"," 308.80"," 298.70"," 304.00"," 304.05"," 305.17"," 3178260"," 9699.12"," 42615"," 740949"," 23.31",75,84,44.49,12/07/2021,F
"HINDPETRO"," EQ"," 06-Dec-2021"," 298.50"," 298.80"," 302.70"," 294.10"," 299.60"," 298.05"," 298.81"," 1676226"," 5008.79"," 25429"," 438339"," 26.15",66,84,44.72,12/06/2021,F
"HINDPETRO"," EQ"," 03-Dec-2021"," 300.55"," 303.00"," 304.70"," 297.50"," 298.85"," 298.50"," 302.05"," 2642885"," 7982.72"," 31142"," 659899"," 24.97",85,84,45.12,12/03/2021,F
"HINDPETRO"," EQ"," 02-Dec-2021"," 297.75"," 297.80"," 303.95"," 292.55"," 300.60"," 300.55"," 299.99"," 3796232"," 11388.14"," 47664"," 1512284"," 39.84",80,84,45.41,12/02/2021,F
"HINDPETRO"," EQ"," 01-Dec-2021"," 295.10"," 295.20"," 300.70"," 290.65"," 297.75"," 297.75"," 296.07"," 2571114"," 7612.22"," 45387"," 1038377"," 40.39",57,84,45.52,12/01/2021,F
"HINDPETRO"," EQ"," 30-Nov-2021"," 296.45"," 296.25"," 316.40"," 293.10"," 294.80"," 295.10"," 296.48"," 6009043"," 17815.76"," 55597"," 3200534"," 53.26",108,84,45.45,11/30/2021,T
"HINDPETRO"," EQ"," 29-Nov-2021"," 302.20"," 300.00"," 301.85"," 292.05"," 297.10"," 296.45"," 297.44"," 3345886"," 9952.11"," 50184"," 1670410"," 49.92",67,85,45.37,11/29/2021,F
"HINDPETRO"," EQ"," 26-Nov-2021"," 316.10"," 316.10"," 316.10"," 300.75"," 302.75"," 302.20"," 305.79"," 3785300"," 11575.17"," 45156"," 1714708"," 45.30",84,85,45.40,11/26/2021,F
"HINDPETRO"," EQ"," 25-Nov-2021"," 324.10"," 325.05"," 326.15"," 314.45"," 318.30"," 316.10"," 317.36"," 4110270"," 13044.46"," 40652"," 2224750"," 54.13",101,85,45.30,11/25/2021,T
"HINDPETRO"," EQ"," 24-Nov-2021"," 318.60"," 319.90"," 331.20"," 319.50"," 322.80"," 324.10"," 326.42"," 4086300"," 13338.54"," 58794"," 1616171"," 39.55",70,84,45.05,11/24/2021,F
"HINDPETRO"," EQ"," 23-Nov-2021"," 316.95"," 314.00"," 320.45"," 313.80"," 318.60"," 318.60"," 317.66"," 2633340"," 8365.06"," 34243"," 1353883"," 51.41",77,85,44.85,11/23/2021,F
"HINDPETRO"," EQ"," 22-Nov-2021"," 323.70"," 323.70"," 326.65"," 314.15"," 317.80"," 316.95"," 319.13"," 3209866"," 10243.63"," 33463"," 1661913"," 51.78",96,85,44.67,11/22/2021,T
"HINDPETRO"," EQ"," 18-Nov-2021"," 326.00"," 327.00"," 329.70"," 321.50"," 323.40"," 323.70"," 325.46"," 3187770"," 10374.80"," 40759"," 1449554"," 45.47",78,84,44.55,11/18/2021,F
"HINDPETRO"," EQ"," 17-Nov-2021"," 337.50"," 337.95"," 337.95"," 325.35"," 326.00"," 326.00"," 330.26"," 3630912"," 11991.28"," 44343"," 1657718"," 45.66",82,84,44.54,11/17/2021,F
"HINDPETRO"," EQ"," 16-Nov-2021"," 351.35"," 352.60"," 352.60"," 336.20"," 337.35"," 337.50"," 341.38"," 4028368"," 13752.14"," 61540"," 2236679"," 55.52",65,83,44.66,11/16/2021,F
"HINDPETRO"," EQ"," 15-Nov-2021"," 347.00"," 350.00"," 354.80"," 348.20"," 350.60"," 351.35"," 352.29"," 4922997"," 17343.28"," 63738"," 2154896"," 43.77",77,84,44.41,11/15/2021,F
"HINDPETRO"," EQ"," 12-Nov-2021"," 342.50"," 344.20"," 349.50"," 343.95"," 346.80"," 347.00"," 346.75"," 3404889"," 11806.54"," 32667"," 1867786"," 54.86",104,84,44.30,11/12/2021,T
"HINDPETRO"," EQ"," 11-Nov-2021"," 346.05"," 344.00"," 347.80"," 339.60"," 343.00"," 342.50"," 342.71"," 2775400"," 9511.51"," 37545"," 1340074"," 48.28",74,83,44.08,11/11/2021,F
"HINDPETRO"," EQ"," 10-Nov-2021"," 344.55"," 343.95"," 349.75"," 342.25"," 344.65"," 346.05"," 345.56"," 3326814"," 11495.98"," 38523"," 1606847"," 48.30",86,84,44.21,11/10/2021,T
"HINDPETRO"," EQ"," 09-Nov-2021"," 345.80"," 347.20"," 348.70"," 341.85"," 343.85"," 344.55"," 345.10"," 3978587"," 13729.98"," 56073"," 1421883"," 35.74",71,83,44.12,11/09/2021,F
"HINDPETRO"," EQ"," 08-Nov-2021"," 321.90"," 326.45"," 347.00"," 322.50"," 346.30"," 345.80"," 338.03"," 14363175"," 48552.22"," 164860"," 3503485"," 24.39",87,83,44.49,11/08/2021,F
"HINDPETRO"," EQ"," 04-Nov-2021"," 314.20"," 319.00"," 322.95"," 315.00"," 322.45"," 321.90"," 320.16"," 987287"," 3160.87"," 15410"," 384019"," 38.90",64,83,44.67,11/04/2021,F
"HINDPETRO"," EQ"," 03-Nov-2021"," 303.45"," 304.60"," 317.00"," 303.20"," 314.40"," 314.20"," 313.04"," 7588744"," 23755.58"," 85025"," 2708634"," 35.69",89,83,44.73,11/03/2021,F
"HINDPETRO"," EQ"," 02-Nov-2021"," 311.95"," 313.00"," 314.90"," 302.30"," 303.50"," 303.45"," 308.41"," 4143739"," 12779.66"," 52025"," 1653181"," 39.90",80,83,44.78,11/02/2021,F
"HINDPETRO"," EQ"," 01-Nov-2021"," 310.40"," 315.05"," 315.05"," 308.50"," 311.90"," 311.95"," 311.65"," 3398520"," 10591.49"," 45881"," 1824061"," 53.67",74,83,44.59,11/01/2021,F
"HINDPETRO"," EQ"," 29-Oct-2021"," 317.05"," 317.00"," 320.00"," 306.40"," 311.40"," 310.40"," 314.05"," 4078422"," 12808.14"," 45898"," 1771647"," 43.44",89,83,44.19,10/29/2021,F
"HINDPETRO"," EQ"," 28-Oct-2021"," 333.90"," 335.00"," 335.45"," 315.05"," 318.25"," 317.05"," 323.16"," 4501801"," 14548.10"," 39395"," 2247699"," 49.93",114,84,44.18,10/28/2021,T
"HINDPETRO"," EQ"," 27-Oct-2021"," 332.40"," 333.05"," 339.60"," 331.45"," 333.10"," 333.90"," 336.45"," 3857496"," 12978.47"," 45399"," 1264580"," 32.78",85,83,44.39,10/27/2021,F
"HINDPETRO"," EQ"," 26-Oct-2021"," 323.05"," 323.05"," 335.90"," 318.40"," 332.55"," 332.40"," 331.61"," 5726988"," 18991.08"," 56661"," 2107764"," 36.80",101,83,44.62,10/26/2021,F
"HINDPETRO"," EQ"," 25-Oct-2021"," 327.85"," 331.50"," 331.50"," 321.30"," 323.50"," 323.05"," 324.62"," 3393396"," 11015.76"," 55562"," 1371073"," 40.40",61,83,44.98,10/25/2021,F
"HINDPETRO"," EQ"," 22-Oct-2021"," 322.80"," 325.00"," 329.40"," 322.30"," 327.60"," 327.85"," 326.42"," 4137663"," 13506.13"," 52602"," 2144383"," 51.83",79,83,45.35,10/22/2021,F
"HINDPETRO"," EQ"," 21-Oct-2021"," 317.30"," 320.45"," 330.00"," 319.85"," 321.95"," 322.80"," 325.26"," 6521962"," 21213.05"," 87159"," 2014041"," 30.88",75,83,45.30,10/21/2021,F
"HINDPETRO"," EQ"," 20-Oct-2021"," 323.40"," 325.50"," 328.55"," 315.50"," 319.15"," 317.30"," 320.47"," 5619163"," 18007.51"," 60459"," 3262430"," 58.06",93,83,45.56,10/20/2021,T
"HINDPETRO"," EQ"," 19-Oct-2021"," 331.70"," 335.50"," 336.90"," 322.05"," 323.15"," 323.40"," 330.35"," 5494855"," 18152.20"," 63798"," 3123059"," 56.84",86,83,45.35,10/19/2021,T
"HINDPETRO"," EQ"," 18-Oct-2021"," 331.35"," 334.35"," 339.70"," 330.50"," 331.15"," 331.70"," 335.31"," 3662289"," 12280.04"," 41052"," 1549335"," 42.31",89,83,45.08,10/18/2021,F
"HINDPETRO"," EQ"," 14-Oct-2021"," 325.80"," 322.00"," 335.80"," 321.75"," 331.90"," 331.35"," 331.85"," 4153260"," 13782.66"," 43163"," 1840717"," 44.32",96,83,44.94,10/14/2021,F
"HINDPETRO"," EQ"," 13-Oct-2021"," 327.80"," 330.80"," 330.80"," 323.40"," 325.60"," 325.80"," 327.18"," 4336076"," 14186.98"," 50066"," 2146134"," 49.49",87,82,45.03,10/13/2021,T
"HINDPETRO"," EQ"," 12-Oct-2021"," 319.05"," 321.90"," 329.00"," 318.85"," 328.50"," 327.80"," 324.08"," 6313035"," 20459.08"," 61211"," 3808997"," 60.34",103,82,45.01,10/12/2021,T
"HINDPETRO"," EQ"," 11-Oct-2021"," 318.05"," 321.50"," 325.85"," 318.05"," 319.45"," 319.05"," 321.73"," 2856794"," 9191.16"," 43485"," 1336870"," 46.80",66,82,44.96,10/11/2021,F
"HINDPETRO"," EQ"," 08-Oct-2021"," 319.50"," 323.00"," 326.75"," 316.00"," 318.60"," 318.05"," 320.84"," 3719308"," 11932.90"," 57058"," 1954502"," 52.55",65,83,44.98,10/08/2021,F
"HINDPETRO"," EQ"," 07-Oct-2021"," 311.60"," 314.00"," 323.70"," 313.40"," 319.10"," 319.50"," 320.32"," 6573600"," 21056.40"," 75499"," 3252875"," 49.48",87,83,44.67,10/07/2021,T
"HINDPETRO"," EQ"," 06-Oct-2021"," 314.45"," 313.95"," 317.95"," 309.55"," 311.60"," 311.60"," 313.13"," 4850398"," 15188.08"," 52035"," 2392691"," 49.33",93,83,44.42,10/06/2021,T
"HINDPETRO"," EQ"," 05-Oct-2021"," 302.80"," 302.95"," 315.90"," 301.35"," 314.75"," 314.45"," 311.66"," 10612386"," 33074.74"," 124523"," 4248935"," 40.04",85,83,44.50,10/05/2021,F
"HINDPETRO"," EQ"," 04-Oct-2021"," 298.95"," 299.10"," 303.60"," 299.00"," 302.20"," 302.80"," 301.67"," 3078165"," 9285.79"," 56496"," 1256210"," 40.81",54,84,44.63,10/04/2021,F
"HINDPETRO"," EQ"," 01-Oct-2021"," 300.00"," 299.60"," 306.00"," 297.00"," 298.90"," 298.95"," 300.53"," 4146823"," 12462.56"," 41605"," 1438867"," 34.70",100,85,44.89,10/01/2021,F
"HINDPETRO"," EQ"," 30-Sep-2021"," 299.60"," 298.50"," 302.80"," 295.00"," 300.10"," 300.00"," 299.44"," 5329092"," 15957.55"," 54568"," 2566192"," 48.15",98,85,45.27,09/30/2021,T
"HINDPETRO"," EQ"," 29-Sep-2021"," 291.60"," 292.40"," 300.90"," 289.00"," 300.00"," 299.60"," 296.59"," 11927055"," 35374.76"," 164415"," 6347676"," 53.22",73,85,45.17,09/29/2021,F
"HINDPETRO"," EQ"," 28-Sep-2021"," 277.75"," 277.00"," 293.20"," 277.00"," 293.20"," 291.60"," 288.40"," 10617222"," 30619.84"," 121672"," 4460794"," 42.01",87,85,44.98,09/28/2021,F
