symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BPCL"," EQ"," 23-Mar-2022"," 368.40"," 370.90"," 371.60"," 365.00"," 366.10"," 366.60"," 367.77"," 6237729"," 22940.29"," 63815"," 2943975"," 47.20",98,70,46.21,03/23/2022,T
"BPCL"," EQ"," 22-Mar-2022"," 357.20"," 358.85"," 369.70"," 356.70"," 368.00"," 368.40"," 364.17"," 7467189"," 27193.55"," 115481"," 2422769"," 32.45",65,70,46.29,03/22/2022,F
"BPCL"," EQ"," 21-Mar-2022"," 364.20"," 360.00"," 367.30"," 356.30"," 356.70"," 357.20"," 360.68"," 6184825"," 22307.19"," 75660"," 2918156"," 47.18",82,70,46.53,03/21/2022,T
"BPCL"," EQ"," 17-Mar-2022"," 356.30"," 359.60"," 366.20"," 357.85"," 363.65"," 364.20"," 362.78"," 11413836"," 41407.35"," 88390"," 7777677"," 68.14",129,71,47.04,03/17/2022,T
"BPCL"," EQ"," 16-Mar-2022"," 350.30"," 353.50"," 357.70"," 350.15"," 355.50"," 356.30"," 354.00"," 4722492"," 16717.85"," 46666"," 2039361"," 43.18",101,70,46.76,03/16/2022,F
"BPCL"," EQ"," 15-Mar-2022"," 359.65"," 361.05"," 361.50"," 348.10"," 349.75"," 350.30"," 353.89"," 6065433"," 21465.20"," 96593"," 2682629"," 44.23",63,69,47.04,03/15/2022,F
"BPCL"," EQ"," 14-Mar-2022"," 362.00"," 359.80"," 361.00"," 352.35"," 360.00"," 359.65"," 357.13"," 8224912"," 29373.66"," 78052"," 3581355"," 43.54",105,69,47.26,03/14/2022,F
"BPCL"," EQ"," 11-Mar-2022"," 349.00"," 351.00"," 363.70"," 350.25"," 363.20"," 362.00"," 356.29"," 8278802"," 29496.95"," 99051"," 3097764"," 37.42",84,68,47.38,03/11/2022,F
"BPCL"," EQ"," 10-Mar-2022"," 342.65"," 352.00"," 354.00"," 345.50"," 349.20"," 349.00"," 349.85"," 9054604"," 31677.75"," 108399"," 4136013"," 45.68",84,68,47.47,03/10/2022,F
"BPCL"," EQ"," 09-Mar-2022"," 341.60"," 344.50"," 347.65"," 337.70"," 342.80"," 342.65"," 342.23"," 6781953"," 23209.88"," 89917"," 2595579"," 38.27",75,68,47.14,03/09/2022,F
"BPCL"," EQ"," 08-Mar-2022"," 338.00"," 337.80"," 343.00"," 332.70"," 342.75"," 341.60"," 338.46"," 6440280"," 21797.55"," 100952"," 2743779"," 42.60",64,68,47.52,03/08/2022,F
"BPCL"," EQ"," 04-Mar-2022"," 346.40"," 347.95"," 351.50"," 343.00"," 350.25"," 348.35"," 346.65"," 7778930"," 26965.31"," 103735"," 3452199"," 44.38",75,68,47.82,03/04/2022,F
"BPCL"," EQ"," 03-Mar-2022"," 342.10"," 347.40"," 354.00"," 343.35"," 346.60"," 346.40"," 346.96"," 6412853"," 22250.34"," 95960"," 2707118"," 42.21",67,68,47.73,03/03/2022,F
"BPCL"," EQ"," 02-Mar-2022"," 349.80"," 346.50"," 356.70"," 339.80"," 343.30"," 342.10"," 346.32"," 7734602"," 26786.48"," 112919"," 3788369"," 48.98",68,68,47.74,03/02/2022,F
"BPCL"," EQ"," 28-Feb-2022"," 336.35"," 335.35"," 351.30"," 332.00"," 349.50"," 349.80"," 346.02"," 9573141"," 33124.69"," 111340"," 4244459"," 44.34",86,67,48.07,02/28/2022,F
"BPCL"," EQ"," 25-Feb-2022"," 333.05"," 340.00"," 341.50"," 332.15"," 336.50"," 336.35"," 336.65"," 5839510"," 19658.84"," 107059"," 2740311"," 46.93",55,67,48.21,02/25/2022,F
"BPCL"," EQ"," 24-Feb-2022"," 357.10"," 349.00"," 352.00"," 331.10"," 333.45"," 333.05"," 341.09"," 7047485"," 24038.00"," 122502"," 3224561"," 45.75",58,67,48.32,02/24/2022,F
"BPCL"," EQ"," 23-Feb-2022"," 355.30"," 358.50"," 360.80"," 356.20"," 357.30"," 357.10"," 358.42"," 2818071"," 10100.56"," 50139"," 1045313"," 37.09",56,67,48.20,02/23/2022,F
"BPCL"," EQ"," 22-Feb-2022"," 368.75"," 360.00"," 364.45"," 349.30"," 355.20"," 355.30"," 356.66"," 7053081"," 25155.79"," 103732"," 2965665"," 42.05",68,67,48.22,02/22/2022,F
"BPCL"," EQ"," 21-Feb-2022"," 373.15"," 373.00"," 373.00"," 365.05"," 368.45"," 368.75"," 368.85"," 3103771"," 11448.23"," 52726"," 954265"," 30.75",59,67,48.41,02/21/2022,F
"BPCL"," EQ"," 18-Feb-2022"," 373.00"," 371.45"," 375.95"," 371.45"," 372.85"," 373.15"," 373.85"," 2210217"," 8262.84"," 37647"," 955449"," 43.23",59,67,48.81,02/18/2022,F
"BPCL"," EQ"," 17-Feb-2022"," 374.10"," 375.95"," 377.25"," 371.00"," 373.20"," 373.00"," 373.94"," 2612160"," 9767.81"," 38903"," 1213731"," 46.46",67,67,48.90,02/17/2022,F
"BPCL"," EQ"," 16-Feb-2022"," 368.90"," 371.00"," 378.40"," 370.30"," 373.70"," 374.10"," 374.52"," 5444908"," 20392.11"," 64887"," 2046522"," 37.59",84,67,48.96,02/16/2022,F
"BPCL"," EQ"," 15-Feb-2022"," 361.70"," 362.05"," 369.75"," 356.60"," 369.10"," 368.90"," 362.19"," 5524786"," 20010.49"," 104306"," 2405317"," 43.54",53,66,49.16,02/15/2022,F
"BPCL"," EQ"," 14-Feb-2022"," 369.55"," 365.00"," 365.85"," 360.55"," 362.00"," 361.70"," 362.99"," 5098193"," 18505.86"," 83779"," 2891121"," 56.71",61,66,49.36,02/14/2022,F
"BPCL"," EQ"," 11-Feb-2022"," 369.65"," 369.65"," 374.50"," 365.00"," 369.80"," 369.55"," 370.76"," 5631276"," 20878.44"," 68773"," 2327055"," 41.32",82,66,49.22,02/11/2022,F
"BPCL"," EQ"," 10-Feb-2022"," 375.60"," 372.70"," 373.50"," 368.50"," 370.00"," 369.65"," 370.20"," 6141529"," 22736.24"," 104978"," 3192486"," 51.98",59,66,49.33,02/10/2022,F
"BPCL"," EQ"," 09-Feb-2022"," 377.40"," 380.00"," 382.00"," 374.70"," 374.95"," 375.60"," 376.91"," 4646178"," 17512.13"," 64621"," 2488809"," 53.57",72,65,49.39,02/09/2022,T
